symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
ALDX,2023-12-19,0.1622,2.96,3.44,3.58,3.055,3.51,10765573,37787161,8.9
CIFR,2023-12-19,0.0764,3.14,3.38,3.855,3.32,3.59,20159083,72371107,6.6
SFWL,2023-12-19,0.0752,4.79,5.15,5.53,2.24,3.28,6509153,21350021,38.3
PASG,2023-12-20,0.1858,15.18,18.0,18.05,15.22,16.3,811191,13222413,62.3
NCL,2023-12-20,0.1667,14.4,16.8,17.2,10.48,13.2,994919,13132930,44.1
ANY,2023-12-20,0.1538,19.5,22.5,28.5,21.6,25.7,1496495,38459921,46.7
WULF,2023-12-20,0.1237,1.98,2.225,2.27,1.94,1.95,37382219,72895327,3.5
CCO,2023-12-20,0.1012,1.68,1.85,1.95,1.77,1.8,5251276,9452296,1.6
MGNX,2023-12-20,0.0921,9.23,10.08,10.7365,9.82,9.83,1461894,14370418,2.6
BITX,2023-12-20,0.0893,17.47,19.03,19.3,18.4,18.57,1223080,22712595,1.5
HUT,2023-12-20,0.0884,12.1,13.17,13.3,11.89,12.15,10180840,123697206,2.9
ANNX,2023-12-21,0.25,2.88,3.6,4.04,3.27,3.73,13569626,50614704,61.1
SFWL,2023-12-21,0.2397,3.63,4.5,5.1,2.45,3.32,10521396,34931034,61.9
MGTX,2023-12-21,0.1853,4.91,5.82,6.59,5.71,6.51,2421270,15762467,10.0
ABAT,2023-12-21,0.1582,5.31,6.15,6.15,5.5,5.62,953912,5360985,2.5
CAN,2023-12-21,0.1323,2.57,2.91,2.91,2.42,2.58,40747060,105127414,6.1
ATRA,2023-12-21,0.1199,13.84,15.5,17.25,11.06,11.15,781885,8718017,5.0
CIFR,2023-12-21,0.094,3.83,4.19,4.31,3.98,4.05,16331360,66142008,4.8
WULF,2023-12-21,0.0718,1.95,2.09,2.125,1.98,2.08,22153311,46078886,1.9
RMCO,2023-12-22,1.2063,1.978,4.364,4.722,2.475,2.545,37833598,96286506,877.3
SNTI,2023-12-22,0.2806,4.39,5.622,6.0,4.795,5.2,3084758,16040741,145.3
AISP,2023-12-22,0.1556,6.49,7.5,7.71,3.89,4.25,1372062,5831263,1569.9
RKLB,2023-12-22,0.149,4.43,5.09,5.76,4.94,5.44,51904987,282363129,13.4
NCL,2023-12-22,0.1081,14.8,16.4,16.72,14.4,16.32,424834,6933290,18.8
SEZL,2023-12-22,0.0773,2.912,3.137,4.58,2.875,4.068,1616886,6577492,10.2
ARBB,2023-12-26,1.3684,14.25,33.75,68.1,32.31,38.85,6629136,257541933,12947.5
SSYS,2023-12-26,0.0732,13.11,14.07,14.93,14.05,14.82,2343791,34734982,4.2
BLNK,2023-12-26,0.0724,3.59,3.85,4.48,3.76,4.12,30496327,125644867,5.5
CHRS,2023-12-27,0.3761,2.18,3.0,3.05,2.56,2.69,54476630,146542134,17.5
LIDR,2023-12-27,0.3198,2.22,2.93,4.08,2.5666,2.65,6346797,16819012,201.3
OKUR,2023-12-27,0.1429,14.0,16.0,17.0,15.7,16.6,525835,8728861,14.7
CIFR,2023-12-27,0.1245,4.98,5.6,5.6,5.06,5.27,27515500,145006685,6.4
WULF,2023-12-27,0.1171,2.22,2.48,2.9,2.43,2.88,52540637,151317034,4.1
EWTX,2023-12-27,0.1029,9.52,10.5,12.3999,10.2,12.1,2113084,25568316,4.8
BUR,2023-12-27,0.1011,13.06,14.38,15.71,14.17,15.46,5618123,86856181,9.5
HIVE,2023-12-27,0.0938,5.12,5.6,5.74,5.26,5.72,10430545,59662717,3.5
XMAX,2023-12-28,1.9419,1.55,4.56,6.38,3.41,4.7,47246174,222057017,8594.9
SNES,2023-12-28,0.7971,8.625,15.5,21.4,12.1,17.3,7875838,136251997,168.2
YCBD,2023-12-29,0.6205,6.319,10.24,13.84,8.24,8.32,5171941,43030549,1891.4
HURA,2023-12-29,0.4981,6.755,10.12,10.32,5.786,5.936,3538306,21003384,171.9
SNTG,2023-12-29,0.2655,1.77,2.24,8.45,2.1096,5.0,48332339,241661695,14427.6
IFBD,2023-12-29,0.1735,7.84,9.2,12.32,8.72,10.48,769945,8069023,52.2
GRFS,2023-12-29,0.1083,10.25,11.36,11.84,11.15,11.27,2654998,29921827,3.4
SNGX,2024-01-02,0.3465,12.12,16.32,19.2,13.12,13.6,3398484,46219382,204.1
VYGR,2024-01-02,0.2476,8.44,10.53,11.72,8.9,9.0,12028476,108256284,77.0
WULF,2024-01-02,0.2208,2.4,2.93,2.94,2.23,2.3,37024035,85155280,2.0
BITX,2024-01-02,0.1839,17.07,20.21,20.29,19.24,19.29,1088309,20993480,1.3
SNES,2024-01-02,0.1811,12.7,15.0,17.8,14.2,16.0,1318740,21099840,25.3
CLSK,2024-01-02,0.1423,11.03,12.5999,12.5999,10.75,10.88,24954602,271506069,0.9
BTBT,2024-01-02,0.1418,4.23,4.83,4.8492,3.76,3.81,17879388,68120468,2.4
KEEL,2024-01-02,0.1375,2.91,3.31,3.32,2.81,2.84,28786505,81753674,0.8
NTRP,2024-01-03,0.6172,2.9,4.69,5.7,3.75,4.0,14056817,56227268,520.0
DYN,2024-01-03,0.3783,13.06,18.0,18.7272,12.33,14.77,20947772,309398592,30.3
HLP,2024-01-03,0.1313,2.17,2.455,3.42,2.431,3.37,2851692,9610202,5.3
SIDU,2024-01-03,0.1176,6.97,7.79,13.48,7.2201,11.64,15115847,175948459,225.2
INO,2024-01-04,0.1333,6.247,7.08,7.32,6.6,6.87,939864,6456865,6.2
HURA,2024-01-04,0.1157,4.925,5.495,6.265,5.257,5.603,1279480,7168926,40.9
QS,2024-01-04,0.1,6.5,7.15,10.03,7.045,9.3,110024429,1023227189,20.0
AIMD,2024-01-05,1.3376,8.65,20.22,21.45,12.6,13.7,6105395,83643911,2989.2
IMUX,2024-01-05,0.1888,14.3,17.0,17.3,13.4,13.9,1848145,25689215,70.4
AXGN,2024-01-05,0.1007,6.75,7.43,8.74,7.3388,8.55,1417173,12116829,4.0
BLNK,2024-01-08,0.1206,2.82,3.16,3.24,2.98,3.03,18333497,55550495,2.4
LFMD,2024-01-08,0.1193,5.45,6.1,6.1,5.68,5.83,2452620,14298774,3.3
SNGX,2024-01-08,0.118,12.88,14.4,15.68,13.02,15.03,437587,6576932,19.7
SLDB,2024-01-08,0.1175,5.53,6.18,9.0399,5.83,5.95,4534508,26980322,53.3
